带潮蛛	dai chao zhu
等闲亦恐狐狸吓	deng xian yi kong hu li xia
等闲异秦吴	deng xian yi qin wu
等闲栽树比封君	deng xian zai shu bi feng jun
等闲栽树木	deng xian zai shu mu
等闲暂别犹惊梦	deng xian zan bie you jing meng
等闲之辈	deng xian zhi bei
等闲之人	deng xian zhi ren
等响度曲线图	deng xiang du qu xian tu
等响曲线	deng xiang qu xian
等相	deng xiang
等相变质	deng xiang bian zhi
等相告	deng xiang gao
等相关证据	deng xiang guan zheng ju
等相面	deng xiang mian
等相区	deng xiang qu
等相位面偏差	deng xiang wei mian pian cha
等祥	deng xiang
等项目	deng xiang mu
等小毕	deng xiao bi
等小妹	deng xiao mei
等效	deng xiao
等效变换	deng xiao bian huan
等效部件	deng xiao bu jian
等效成	deng xiao cheng
等效串联电阻	deng xiao chuan lian dian zu
等效地球半径	deng xiao di qiu ban jing
等效电感	deng xiao dian gan
等效电感值	deng xiao dian gan zhi
等效电流	deng xiao dian liu
等效电流法	deng xiao dian liu fa
等效电路	deng xiao dian lu
等效电路模型	deng xiao dian lu mo xing
等效电容	deng xiao dian rong
等效电源	deng xiao dian yuan
等效电源定理	deng xiao dian yuan ding li
等效电子	deng xiao dian zi
等效电阻	deng xiao dian zu
等效电阻率	deng xiao dian zu lv
等效电阻率法	deng xiao dian zu lv fa
等效动力学模型	deng xiao dong li xue mo xing
等效二极管	deng xiao er ji guan
等效二进制位	deng xiao er jin zhi wei
等效二值数字	deng xiao er zhi shu zi
等效发射天线高度	deng xiao fa she tian xian gao du
等效风区	deng xiao feng qu
等效风时	deng xiao feng shi
等效负载	deng xiao fu zai
等效负载等效荷载等值负载	deng xiao fu zai deng xiao he zai deng zhi fu zai
等效辐射温度	deng xiao fu she wen du
等效感抗	deng xiao gan kang
等效刚度	deng xiao gang du
等效功率通量密度	deng xiao gong lv tong liang mi du
等效构件	deng xiao gou jian
等效轨函数	deng xiao gui han shu
等效荷载	deng xiao he zai
等效荷载原理	deng xiao he zai yuan li
等效集总参数法	deng xiao ji zong can shu fa
等效焦距	deng xiao jiao ju
等效介电常数	deng xiao jie dian chang shu
等效截面	deng xiao jie mian
等效节点	deng xiao jie dian
等效节点力	deng xiao jie dian li
等效均布荷载	deng xiao jun bu he zai
等效均布活荷载	deng xiao jun bu huo he zai
等效均布活荷载钢带	deng xiao jun bu huo he zai gang dai
等效孔径	deng xiao kong jing
等效力	deng xiao li
等效力矩	deng xiao li ju
等效力系	deng xiao li xi
等效连续声级	deng xiao lian a sheng ji
等效连续	deng xiao lian xu
等效连续声级	deng xiao lian xu sheng ji
等效量	deng xiao liang
等效硫化	deng xiao liu hua
等效面	deng xiao mian
等效内摩擦角	deng xiao nei mo ca jiao
等效粘性阻尼	deng xiao nian xing zu ni
等效平衡	deng xiao ping heng
等效强迫停运系数	deng xiao qiang po ting yun xi shu
等效全向辐射功率	deng xiao quan xiang fu she gong lv
等效全向辐射功率谱密度	deng xiao quan xiang fu she gong lv pu mi du
等效全向辐射功率最大值	deng xiao quan xiang fu she gong lv zui da zhi
等效审计	deng xiao shen ji
等效声级	deng xiao sheng ji
等效势温	deng xiao shi wen
等效随机电路群	deng xiao sui ji dian lu qun
等效随机话务密度	deng xiao sui ji hua wu mi du
等效弹性模量	deng xiao tan xing mo liang
等效替换	deng xiao ti huan
等效梯度	deng xiao ti du
等效突变型折射率差	deng xiao tu bian xing zhe she lv cha
等效弯曲力矩	deng xiao wan qu li ju
等效烷烃碳数	deng xiao wan ting tan shu
等效网络	deng xiao wang luo
等效网元数目	deng xiao wang yuan shu mu
等效卫星链路噪声温度	deng xiao wei xing lian lu zao sheng wen du
等效温度	deng xiao wen du
等效吸声面积	deng xiao xi sheng mian ji
等效系统	deng xiao xi tong
等效隙缝	deng xiao xi feng
等效斜度	deng xiao xie du
等效压力	deng xiao ya li
等效异位基因	deng xiao yi wei ji yin
等效应力综合应力	deng xiao ying li zong he ying li
等效于	deng xiao yu
等效圆半径	deng xiao yuan ban jing
等效噪声反射率	deng xiao zao sheng fan she lv
等效噪声功率	deng xiao zao sheng gong lv
等效噪声温差	deng xiao zao sheng wen cha
等效值	deng xiao zhi
等效直径	deng xiao zhi jing
等效置换	deng xiao zhi huan
等效质量	deng xiao zhi liang
等效转动惯量	deng xiao zhuan dong guan liang
等效转发类	deng xiao zhuan fa lei
等消光点	deng xiao guang dian
等些	deng xie
等些时	deng xie shi
等写完了高随你	deng xie wan le gao sui ni
等斜的	deng xie de
等斜平面	deng xie ping mian
等斜线	deng xie xian
等斜褶皱	deng xie zhe zhou
等歇	deng xie
等歇班	deng xie ban
等信	deng xin
等信儿	deng xin er
等信号	deng xin hao
等心	deng xin
等性腻子	deng xing ni zi
等性于此悉无有	deng xing yu ci xi wu you
等星星都点亮闭上眼找酒香	deng xing xing dou dian liang bi shang yan zhao jiu xiang
等行人	deng xing ren
等行人岁岁	deng xing ren sui sui
等醒了再请来	deng xing le zai qing lai
等胸皮叩甲	deng xiong pi kou jia
等休班	deng xiu ban
等休假	deng xiu jia
等秀	deng xiu
等墟	deng xu
等墟等过夜	deng xu deng guo ye
等虚假的背影消失于晴朗	deng xu jia de bei ying xiao shi yu qing lang
等须浮蚕	deng xu fu can
等旋干涉纹	deng xuan gan she wen
等学	deng xue
等学者吧	deng xue zhe ba
等雪	deng xue
等雪深线	deng xue shen xian
等寻龙	deng xun long
等循环	deng xun huan
等丫	deng ya
等压	deng ya
等压变化	deng ya bian hua
等压等高线	deng ya deng gao xian
等压工艺	deng ya gong yi
等压过程	deng ya guo cheng
等压截面	deng ya jie mian
等压力下	deng ya li xia
等压面	deng ya mian
等压面图	deng ya mian tu
等压偏差系数	deng ya pian cha xi shu
等压强	deng ya qiang
等压热容	deng ya re rong
等压溶解	deng ya rong jie
等压式	deng ya shi
等压式割炬	deng ya shi ge ju
等压式割嘴	deng ya shi ge zui
等压式焊割	deng ya shi han ge
等压式焊割两用炬	deng ya shi han ge liang yong ju
等压式焊炬	deng ya shi han ju
等压式快速割嘴	deng ya shi kuai su ge zui
等压调节	deng ya tiao jie
等压图	deng ya tu
等压吸附线	deng ya xi fu xian
等压线	deng ya xian
等压线的	deng ya xian de
等压线通道	deng ya xian tong dao
等压线图	deng ya xian tu
等压压缩	deng ya ya suo
等压应力状态	deng ya ying li zhuang tai
等压原则	deng ya yuan ze
等呀等呀	deng ya deng ya
等岩	deng yan
等盐度线	deng yan du xian
等盐线	deng yan xian
等言	deng yan
等养	deng yang
等样堆砌字眼	deng yang dui qi zi yan
等妖三角形	deng yao san jiao xing
等腰	deng yao
等腰的	deng yao de
等腰三角形	deng yao san jiao xing
等腰梯形	deng yao ti xing
等腰正方形	deng yao zheng fang xing
等腰直角三角形	deng yao zhi jiao san jiao xing
等要	deng yao
等要什么再和你们要	deng yao shen me zai he ni men yao
等叶玛草蛉	deng ye ma cao ling
等叶式	deng ye shi
等叶足水蚤	deng ye zu shui zao
等夜风开始唱越过山去远方	deng ye feng kai shi chang yue guo shan qu yuan fang
等一大车	deng yi da che
等一等	deng yi deng
等一等我再去	deng yi deng wo zai qu
等一二日再提这事	deng yi er ri zai ti zhe shi
等一分钟	deng yi fen zhong
等一浮名世间耳	deng yi fu ming shi jian er
等一个多月	deng yi ge duo yue
等一个怀抱	deng yi ge huai bao
等一个人	deng yi ge ren
等一个人咖啡	deng yi ge ren ka fei
等一个他	deng yi ge ta
等一挂	deng yi gua
等一哈	deng yi ha
等一哈儿	deng yi ha er
等一哈哈	deng yi ha ha
等一哈子	deng yi ha zi
等一忽忽	deng yi hu hu
等一会昂	deng yi hui ang
等一会的	deng yi hui de
等一会就开始	deng yi hui jiu kai shi
等一会就找他	deng yi hui jiu zhao ta
等一会睡下	deng yi hui shui xia
等一会我不撕她那嘴	deng yi hui wo bu si ta na zui
等一会下楼	deng yi hui xia lou
等一久	deng yi jiu
等一刻	deng yi ke
等一块	deng yi kuai
等一辆	deng yi liang
等一名	deng yi ming
等一切诸佛	deng yi qie zhu fo
等一霎	deng yi sha
等一生都等	deng yi sheng dou deng
等一时	deng yi shi
等一通答复	deng yi tong da fu
等一下	deng yi xia
等一下昂	deng yi xia ang
等一下咯	deng yi xia ge
等一下给我	deng yi xia gei wo
等一下见哦	deng yi xia jian o
等一下再讲	deng yi xia zai jiang
等一下再接	deng yi xia zai jie
等一下再说	deng yi xia zai shuo
等一下子	deng yi xia zi
等一歇	deng yi xie
等以后的	deng yi hou de
等以后工作了	deng yi hou gong zuo le
等夷	deng yi
等夷之志	deng yi zhi zhi
等异常线	deng yi chang xian
等益处	deng yi chu
等衣服过期的	deng yi fu guo qi de
等邑	deng yi
等因奉此	deng yin feng ci
等引	deng yin
等音	deng yin
等音程	deng yin cheng
等音调	deng yin diao
等音调式	deng yin diao shi
等音记谱	deng yin ji pu
等应变曲线	deng ying bian qu xian
等应变图	deng ying bian tu
等应力	deng ying li
等硬度曲线	deng ying du qu xian
等硬度线	deng ying du xian
等颖落芒草	deng ying luo mang cao
等用	deng yong
等用后	deng yong hou
等用户	deng yong hu
等用了	deng yong le
等用用	deng yong yong
等幽如白昼	deng you ru bai zhou
等有机会的	deng you ji hui de
等有空来	deng you kong lai
等有时间的	deng you shi jian de
等有时间了吧	deng you shi jian le ba
等有时间又聊	deng you shi jian you liao
等有需要	deng you xu yao
等由害物质	deng you hai wu zhi
等于	deng yu
等于白干	deng yu bai gan
等于白交	deng yu bai jiao
等于不打自招了	deng yu bu da zi zhao le
等于不抓	deng yu bu zhua
等于反党	deng yu fan dang
等于恒星周年视差为	deng yu heng xing zhou nian shi cha wei
等于或小于	deng yu huo xiao yu
等于讲	deng yu jiang
等于零	deng yu ling
等于没讲	deng yu mei jiang
等于没瘦	deng yu mei shou
等于没问哦	deng yu mei wen o
等于你	deng yu ni
等于你是	deng yu ni shi
等于说	deng yu shuo
等于婴儿之学语	deng yu ying er zhi xue yu
等玉人	deng yu ren
等雨量	deng yu liang
等雨量线	deng yu liang xian
等雨量线法	deng yu liang xian fa
等鱼雷	deng yu lei
等原则	deng yuan ze
等员	deng yuan
等圆断面	deng yuan duan mian
等愿	deng yuan
等缘蚧金小蜂	deng yuan jie jin xiao feng
等缘贫所役	deng yuan pin suo yi
等韵	deng yun
等韵丛书	deng yun cong shu
等韵图	deng yun tu
等韵学	deng yun xue
等韵一得	deng yun yi de
等韵源流	deng yun yuan liu
等再次	deng zai ci
等再大一点儿再定罢	deng zai da yi dian er zai ding ba
等再过二三年再说	deng zai guo er san nian zai shuo
等再教育	deng zai jiao yu
等再聊	deng zai liao
等再说	deng zai shuo
等再说吧	deng zai shuo ba
等再晚跌噶	deng zai wan die ga
等在	deng zai
等在出现	deng zai chu xian
等在的时候	deng zai de shi hou
等载	deng zai
等载预压	deng zai yu ya
等咱够了	deng zan gou le
等造成的伤害	deng zao cheng de shang hai
等增	deng zeng
等赠品	deng zeng pin
等寨	deng zhai
等张比容	deng zhang bi rong
等张材家的来要	deng zhang cai jia de lai yao
等张等容短暂上限	deng zhang deng rong duan zan shang xian
等张溶液	deng zhang rong ye
等张收缩	deng zhang shou suo
等张书记	deng zhang shu ji
等张性	deng zhang xing
等张性低氧血	deng zhang xing di yang xue
等张性低氧血症	deng zhang xing di yang xue zheng
等张运动	deng zhang yun dong
等找你	deng zhao ni
等找你玩	deng zhao ni wan
等找着琏二奶奶	deng zhao zhao lian er nai nai
等招工	deng zhao gong
等照度曲线	deng zhao du qu xian
等爪四脉绵蚜	deng zhao si mai mian ya
等折白砂糖	deng zhe bai sha tang
等折白砂糖产率	deng zhe bai sha tang chan lv
等折产率	deng zhe chan lv
等着挨刀	deng zhe ai dao
等着挨骂	deng zhe ai ma
等着昂	deng zhe ang
等着宝玉一块儿走	deng zhe bao yu yi kuai er zou
等着不	deng zhe bu
等着吃糖	deng zhe chi tang
等着出墙	deng zhe chu qiang
等着点	deng zhe dian
等着都放假了	deng zhe dou fang jia le
等着房主来	deng zhe fang zhu lai
等着噶	deng zhe ga
等着咯	deng zhe ge
等着给你	deng zhe gei ni
等着给我	deng zhe gei wo
等着跟你说	deng zhe gen ni shuo
等着够洗吧	deng zhe gou xi ba
等着和弦	deng zhe he xian
等着后悔吧	deng zhe hou hui ba
等着回油田	deng zhe hui you tian
等着开工	deng zhe kai gong
等着看看	deng zhe kan kan
等着看看吧	deng zhe kan kan ba
等着困敌	deng zhe kun di
等着来	deng zhe lai
等着老师订正	deng zhe lao shi ding zheng
等着咧	deng zhe lie
等着嘛	deng zhe ma
等着你	deng zhe ni
等着你广场	deng zhe ni guang chang
等着你回来	deng zhe ni hui lai
等着你回来大陆版	deng zhe ni hui lai da lu ban
等着你类	deng zhe ni lei
等着你里	deng zhe ni li
等着你死翘翘	deng zhe ni si qiao qiao
等着你在	deng zhe ni zai
等着瞧	deng zhe qiao
等着瞧好了	deng zhe qiao hao le
等着撒	deng zhe sa
等着说	deng zhe shuo
等着他	deng zhe ta
等着他的动作	deng zhe ta de dong zuo
等着她不送了去	deng zhe ta bu song le qu
等着特	deng zhe te
等着哇	deng zhe wa
等着晚上起了更你来	deng zhe wan shang qi le geng ni lai
等着玩电脑	deng zhe wan dian nao
等着我	deng zhe wo
等着我昂	deng zhe wo ang
等着我给你	deng zhe wo gei ni
等着我和你主子闹去就是了	deng zhe wo he ni zhu zi nao qu jiu shi le
等着我了	deng zhe wo le
等着我们过来一样	deng zhe wo men guo lai yi yang
等着我在	deng zhe wo zai
等着细雨停歇	deng zhe xi yu ting xie
等着行了	deng zhe xing le
等着修了这辈子	deng zhe xiu le zhe bei zi
等着阎王来了	deng zhe yan wang lai le
等着要货	deng zhe yao huo
等着用咧	deng zhe yong lie
等着再换	deng zhe zai huan
等着再说	deng zhe zai shuo
等着再说吧	deng zhe zai shuo ba
等着在	deng zhe zai
等着咱们晚上痛喝一阵	deng zhe zan men wan shang tong he yi zhen
等着追赶的人回去了	deng zhe zhui gan de ren hui qu le
等这半年不遇的	deng zhe ban nian bu yu de
等这个到了	deng zhe ge dao le
等这个工程出来	deng zhe ge gong cheng chu lai
等这个张先生来瞧了再说罢	deng zhe ge zhang xian sheng lai qiao le zai shuo ba
等这歌	deng zhe ge
等这件事出来	deng zhe jian shi chu lai
等这久	deng zhe jiu
等这天	deng zhe tian
等这里姐姐们果然都出了门	deng zhei li jie jie men guo ran dou chu le men
等阵	deng zhen
等阵先	deng zhen xian
等阵要	deng zhen yao
等震线	deng zhen xian
等震线图	deng zhen xian tu
等正觉	deng zheng jue
等症	deng zheng
等蒸发量线	deng zheng fa liang xian
等蒸汽压平衡	deng zheng qi ya ping heng
等之彀中游	deng zhi gou zhong you
等之事嬉游	deng zhi shi xi you
等之自郐	deng zhi zi kuai
等值	deng zhi
等值波	deng zhi bo
等值波阻抗	deng zhi bo zu kang
等值单股导线	deng zhi dan gu dao xian
等值电路	deng zhi dian lu
等值二进数	deng zhi er jin shu
等值复本	deng zhi fu ben
等值功率	deng zhi gong lv
等值关系	deng zhi guan xi
等值灰度尺	deng zhi hui du chi
等值货币	deng zhi huo bi
等值焦距	deng zhi jiao ju
等值宽度	deng zhi kuan du
等值连接	deng zhi lian jie
等值美元	deng zhi mei yuan
等值面	deng zhi mian
等值命题	deng zhi ming ti
等值你	deng zhi ni
等值区	deng zhi qu
等值区域法	deng zhi qu yu fa
等值区域图	deng zhi qu yu tu
等值肉蛋类	deng zhi rou dan lei
等值系数	deng zhi xi shu
等值现象	deng zhi xian xiang
等值线	deng zhi xian
等值线地图	deng zhi xian di tu
等值线法	deng zhi xian fa
等值线软件	deng zhi xian ruan jian
等值线图	deng zhi xian tu
等值相对空气密度校正法	deng zhi xiang dui kong qi mi du jiao zheng fa
等值相对空气密度校正法	deng zhi xiang dui kong qi mi du xiao zheng fa
等值效果	deng zhi xiao guo
等值因数	deng zhi yin shu
等值原理	deng zhi yuan li
等值种	deng zhi zhong
等智	deng zhi
等枝拱背果蝇	deng zhi gong bei guo ying
等枝节糠虾	deng zhi jie kang xia
等栉虫扇科	deng zhi chong shan ke
