自动提额	zi dong ti e
自身修饰假说	zi shen xiu shi jia shuo
自身牙根种植体	zi shen ya gen zhong zhi ti
自身牙移植术	zi shen ya yi zhi shu
自身氧化	zi shen yang hua
自身氧化与还原	zi shen yang hua yu huan yuan
自身氧化作用	zi shen yang hua zuo yong
自身疫苗	zi shen yi miao
自身疫苗自身菌苗	zi shen yi miao zi shen jun miao
自身移植	zi shen yi zhi
自身移植术	zi shen yi zhi shu
自身移植物	zi shen yi zhi wu
自身硬化	zi shen ying hua
自身治疗	zi shen zhi liao
自身直径	zi shen zhi jing
自身致敏	zi shen zhi min
自身中毒禁忌	zi shen zhong du jin ji
自身自佛	zi shen zi fo
自升式平台	zi sheng shi ping tai
自升式钻井船	zi sheng shi zuan jing chuan
自升式钻井平台	zi sheng shi zuan jing ping tai
自升式钻探平台	zi sheng shi zuan tan ping tai
自声音岩泛小舟下高溪	zi sheng yin yan fan xiao zhou xia gao xi
自生	zi sheng
自生沉积	zi sheng chen ji
自生村	zi sheng cun
自生的	zi sheng de
自生毒素	zi sheng du su
自生而必体有	zi sheng er bi ti you
自生放松	zi sheng fang song
自生谷类植物	zi sheng gu lei zhi wu
自生光电效应	zi sheng guang dian xiao ying
自生欢喜因	zi sheng huan xi yin
自生介质滚筒分选机	zi sheng jie zhi gun tong fen xuan ji
自生矿物	zi sheng kuang wu
自生民以来	zi sheng min yi lai
自生桥	zi sheng qiao
自生人以来	zi sheng ren yi lai
自生色	zi sheng se
自生石英	zi sheng shi ying
自生微生物	zi sheng wei sheng wu
自生引变剂	zi sheng yin bian ji
自生羽翼	zi sheng yu yi
自生元素	zi sheng yuan su
自生再结晶	zi sheng zai jie jing
自生瞻仰意	zi sheng zhan yang yi
自生振荡	zi sheng zhen dang
自生酌	zi sheng zhuo
自生自灭	zi sheng zi mie
自生自灭成何事	zi sheng zi mie cheng he shi
自生自死	zi sheng zi si
自生自显	zi sheng zi xian
自盛	zi sheng
自省知识	zi sheng zhi shi
自胜者强	zi sheng zhe qiang
自事故发生之日起三十日内	zi shi gu fa sheng zhi ri qi san shi ri nei
自事其心者	zi shi qi xin zhe
自事实行为成就时发生效力	zi shi shi xing wei cheng jiu shi fa sheng xiao li
自使来宾国	zi shi lai bin guo
自使癯者肥	zi shi qu zhe fei
自史汉以下	zi shi han yi xia
自噬其身的老虎	zi shi qi shen de lao hu
自失	zi shi
自失而走	zi shi er zou
自失论文友	zi shi lun wen you
自始	zi shi
自始不能	zi shi bu neng
自始而至今	zi shi er zhi jin
自始即不存在	zi shi ji bu cun zai
自始居重译	zi shi ju chong yi
自始无效	zi shi wu xiao
自始至终	zi shi zhi zhong
自始至终一个人的故事	zi shi zhi zhong yi ge ren de gu shi
自始自终	zi shi zi zhong
自实法	zi shi fa
自实丰仓归	zi shi feng cang gui
自恃	zi shi
自恃其才	zi shi qi cai
自恃栖托稳	zi shi qi tuo wen
自恃雄奔不失驰	zi shi xiong ben bu shi chi
自拭锦衤朋含泪粉	zi shi jin yi peng han lei fen
自时降住	zi shi jiang zhu
自是	zi shi
自是爱封侯	zi shi ai feng hou
自是安稳的	zi shi an wen de
自是白衣卿相	zi shi bai yi qing xiang
自是比外头买的高便好	zi shi bi wai tou mai de gao bian hao
自是不归归便得	zi shi bu gui gui bian de
自是不归归便得	zi shi bu gui gui bian dei
自是不消记挂	zi shi bu xiao ji gua
自是不彰	zi shi bu zhang
自是尘外踪	zi shi chen wai zong
自是承平一事无	zi shi cheng ping yi shi wu
自是踧踖不安	zi shi cu ji bu an
自是大家举止	zi shi da jia ju zhi
自是当歌敛眉黛	zi shi dang ge lian mei dai
自是当时实事	zi shi dang shi shi shi
自是当时天帝醉	zi shi dang shi tian di zui
自是当真了	zi shi dang zhen le
自是地利非天时	zi shi di li fei tian shi
自是东西客	zi shi dong xi ke
自是独伤离	zi shi du shang li
自是丰年有笑声	zi shi feng nian you xiao sheng
自是风流时世妆	zi shi feng liu shi shi zhuang
自是干国具	zi shi gan guo ju
自是官高无狎客	zi shi guan gao wu xia ke
自是观之	zi shi guan zhi
自是河东真鸾鷟	zi shi he dong zhen luan zhuo
自是鹤长足	zi shi he chang zu
自是红尘飞不到	zi shi hong chen fei bu dao
自是红的	zi shi hong de
自是花中第一流	zi shi hua zhong di yi liu
自是花中无国色	zi shi hua zhong wu guo se
自是荒淫罪	zi shi huang yin zui
自是晦明天不定	zi shi hui ming tian bu ding
自是汲者常满	zi shi ji zhe chang man
自是佳句	zi shi jia ju
自是将军老枕戈	zi shi jiang jun lao zhen ge
自是江山雄壮处	zi shi jiang shan xiong zhuang chu
自是节临三月暮何须人恨五更风	zi shi jie lin san yue mu he xu ren hen wu geng feng
自是精魂先魄去	zi shi jing hun xian po qu
自是君不来	zi shi jun bu lai
自是君恩薄如纸	zi shi jun en bao ru zhi
自是君恩薄如纸	zi shi jun en bo ru zhi
自是君身有仙骨	zi shi jun shen you xian gu
自是君王不动心	zi shi jun wang bu dong xin
自是君王着意深	zi shi jun wang zhuo yi shen
自是看山花	zi shi kan shan hua
自是客星辞帝座	zi shi ke xing ci di zuo
自是老怀多感慨	zi shi lao huai duo gan kai
自是老年游兴少	zi shi lao nian you xing shao
自是老人眠不着	zi shi lao ren mian bu zhao
自是离人作许悲	zi shi li ren zuo xu bei
自是脸上一红一白	zi shi lian shang yi hong yi bai
自是命不谐	zi shi ming bu xie
自是明时不巡幸	zi shi ming shi bu xun xing
自是母子俱各欢喜	zi shi mu zi ju ge huan xi
自是平时大隐徒	zi shi ping shi da yin tu
自是其形不可久	zi shi qi xing bu ke jiu
自是岂无竞	zi shi qi wu jing
自是麒麟种	zi shi qi lin zhong
自是迁臣多病	zi shi qian chen duo bing
自是秦楼压郑谷	zi shi qin lou ya zheng gu
自是情怀未苦平	zi shi qing huai wei ku ping
自是晴鸥无六月	zi shi qing ou wu liu yue
自是清樽负明月	zi shi qing zun fu ming yue
自是求佳梦	zi shi qiu jia meng
自是去人身渐老	zi shi qu ren shen jian lao
自是人间好	zi shi ren jian hao
自是人生长恨水长东	zi shi ren sheng chang hei shui chang dong
自是人生长恨水长东	zi shi ren sheng chang hen shui chang dong
自是人心不暂闲	zi shi ren xin bu zan xian
自是仁由己	zi shi ren you ji
自是山公兴	zi shi shan gong xing
自是山妻手法成	zi shi shan qi shou fa cheng
自是少年行	zi shi shao nian hang
自是少年行	zi shi shao nian xing
自是少闲人	zi shi shao xian ren
自是舒徐	zi shi shu xu
自是霜娥偏爱冷	zi shi shuang e pian ai leng
自是素餐天所厌	zi shi su can tian suo yan
自是桃花贪结子	zi shi tao hua tan jie zi
自是天涯人	zi shi tian ya ren
自是忘机人	zi shi wang ji ren
自是未能归去得	zi shi wei neng gui qu de
自是无能欲乐尔	zi shi wu neng yu le er
自是无为化	zi shi wu wei hua
自是无言桃李晚	zi shi wu yan tao li wan
自是梧桐不久长	zi shi wu tong bu jiu chang
自是舞阳台	zi shi wu yang tai
自是羲皇以上人	zi shi xi huang yi shang ren
自是贤名上所贪	zi shi xian ming shang suo tan
自是向来香寂寞	zi shi xiang lai xiang ji mo
自是湘州石燕飞	zi shi xiang zhou shi yan fei
自是小鬟娇懒惯	zi shi xiao huan jiao lan guan
自是姓同亲向说	zi shi xing tong qin xiang shuo
自是行心不到头	zi shi xing xin bu dao tou
自是休文	zi shi xiu wen
自是雪霜姿	zi shi xue shuang zi
自是寻春去校迟	zi shi xun chun qu xiao chi
自是眼长青	zi shi yan chang qing
自是阎浮众生	zi shi yan fu zhong sheng
自是野人家	zi shi ye ren jia
自是一嫖姚	zi shi yi piao yao
自是以后	zi shi yi hou
自是依刘表	zi shi yi liu biao
自是宜鼎轴	zi shi yi ding zhou
自是忆山阴	zi shi yi shan yin
自是幽并客	zi shi you bing ke
自是有德者以不知也	zi shi you de zhe yi bu zhi ye
自是有乡愁	zi shi you xiang chou
自是欲将花比貌凉风轻步野塘边	zi shi yu jiang hua bi mao liang feng qing bu ye tang bian
自是造化一尤物	zi shi zao hua yi you wu
自是者不彰	zi shi zhe bu zhang
自是之后	zi shi zhi hou
自是指物作诗立就	zi shi zhi wu zuo shi li jiu
自是众木乱纷纷	zi shi zhong mu luan fen fen
自是众生	zi shi zhong sheng
自蚀	zi shi
自蚀线	zi shi xian
自蚀阳极	zi shi yang ji
自视	zi shi
自视不差胜	zi shi bu cha sheng
自视不明	zi shi bu ming
自视欿然	zi shi kan ran
自视如一叶	zi shi ru yi ye
自视汝与丘孰贤	zi shi ru yu qiu shu xian
自视甚高	zi shi shen gao
自视性幻觉	zi shi xing huan jue
自视直欲见筋脉	zi shi zhi yu jian jin mai
自誓得	zi shi de
自誓得戒	zi shi de jie
自誓何樊母	zi shi he fan mu
自誓立壮节	zi shi li zhuang jie
自誓且死必为李氏子以报	zi shi qie si bi wei li shi zi yi bao
自誓三昧经	zi shi san mei jing
自誓受	zi shi shou
自誓受戒	zi shi shou jie
自识	zi shi
自识将军礼数宽	zi shi jiang jun li shu kuan
自识君来三度别	zi shi jun lai san du bie
自识昆明灰	zi shi kun ming hui
自识门前山	zi shi men qian shan
自试也	zi shi ye
自适	zi shi
自适固其常	zi shi gu qi chang
自适孤云情	zi shi gu yun qing
自适瓜芋区	zi shi gua yu qu
自适颇从容	zi shi po cong rong
自适一忻意	zi shi yi xin yi
自适应	zi shi ying
自适应扒皮	zi shi ying ba pi
自适应变异	zi shi ying bian yi
自适应波束	zi shi ying bo shu
自适应补给	zi shi ying bu gei
自适应补给元件	zi shi ying bu gei yuan jian
自适应采样	zi shi ying cai yang
自适应差分脉冲编码调制	zi shi ying cha fen mai chong bian ma tiao zhi
自适应差分脉码调制	zi shi ying cha fen mai ma tiao zhi
自适应齿轮	zi shi ying chi lun
自适应多速率	zi shi ying duo su lv
自适应多速率编解码器	zi shi ying duo su lv bian jie ma qi
自适应光学	zi shi ying guang xue
自适应积分	zi shi ying ji fen
自适应检测器	zi shi ying jian ce qi
自适应降级	zi shi ying jiang ji
自适应交叉	zi shi ying jiao cha
自适应界面	zi shi ying jie mian
自适应均衡	zi shi ying jun heng
自适应控制	zi shi ying kong zhi
自适应控制方法	zi shi ying kong zhi fang fa
自适应空域处理	zi shi ying kong yu chu li
自适应雷达	zi shi ying lei da
自适应量化	zi shi ying liang hua
自适应路由选择	zi shi ying lu you xuan ze
自适应能力	zi shi ying neng li
自适应神经网络	zi shi ying shen jing wang luo
自适应式路由选择	zi shi ying shi lu you xuan ze
自适应时分双工	zi shi ying shi fen shuang gong
自适应时钟方式	zi shi ying shi zhong fang shi
自适应速率等级调整	zi shi ying su lv deng ji tiao zheng
自适应锁定	zi shi ying suo ding
自适应天线	zi shi ying tian xian
自适应天线系统	zi shi ying tian xian xi tong
自适应调制	zi shi ying tiao zhi
自适应调制编码	zi shi ying tiao zhi bian ma
自适应网格	zi shi ying wang ge
自适应网卡	zi shi ying wang ka
自适应系统	zi shi ying xi tong
自适应细分	zi shi ying xi fen
自适应谐振理论	zi shi ying xie zhen li lun
自适应性	zi shi ying xing
自适应性材料	zi shi ying xing cai liao
自适应学习	zi shi ying xue xi
自适应压板	zi shi ying ya ban
自适应压紧座	zi shi ying ya jin zuo
自适应遥测	zi shi ying yao ce
自适应遥控	zi shi ying yao kong
自适应应答	zi shi ying ying da
自适应用户界面	zi shi ying yong hu jie mian
自适应预报	zi shi ying yu bao
自适应预测编码	zi shi ying yu ce bian ma
自适应增量调制	zi shi ying zeng liang tiao zhi
自适应支承钉	zi shi ying zhi cheng ding
自适应支承帽	zi shi ying zhi cheng mao
自适应纸张能力	zi shi ying zhi zhang neng li
自适应终端	zi shi ying zhong duan
自适应准蒙特卡洛	zi shi ying zhun meng te ka luo
自适应子波	zi shi ying zi bo
自适应最优化	zi shi ying zui you hua
自食恶果	zi shi e guo
自食恶果欧洲即将沦为第三世界	zi shi e guo ou zhou ji jiang lun wei di san shi jie
自食其恶果	zi shi qi e guo
自食其果	zi shi qi guo
自食其力	zi shi qi li
自食其力而已	zi shi qi li er yi
自食其牛	zi shi qi niu
自食其言	zi shi qi yan
自食自眠犹未得	zi shi zi mian you wei de
自受恶趣	zi shou e qu
自受法乐	zi shou fa yue
自受激振动	zi shou ji zhen dong
自受用身	zi shou yong shen
自受自用	zi shou zi yong
自受自作	zi shou zi zuo
自售	zi shou
自守	zi shou
自守表示	zi shou biao shi
自守陈蕃榻	zi shou chen fan ta
自守藩篱小	zi shou fan li xiao
自守函数	zi shou han shu
自守诗家法度严	zi shou shi jia fa du yan
自守形式	zi shou xing shi
自手犯	zi shou fan
自收藏能力	zi shou cang neng li
自收自支	zi shou zi zhi
自收自支管理	zi shou zi zhi guan li
自收自支事业单位	zi shou zi zhi shi ye dan wei
自首	zi shou
自首的爱	zi shou de ai
自首的搞笑艺人后篇	zi shou de gao xiao yi ren hou pian
自首的搞笑艺人前篇	zi shou de gao xiao yi ren qian pian
自首犯的处罚	zi shou fan de chu fa
自首又有立功表现	zi shou you you li gong biao xian
自书此经	zi shu ci jing
自书告身	zi shu gao shen
自书遗嘱	zi shu yi zhu
自书自勘不辞劳	zi shu zi kan bu ci lao
自属唐以后事	zi shu tang yi hou shi
自数来时六十五	zi shu lai shi liu shi wu
自树一帜	zi shu yi zhi
自树终天戚	zi shu zhong tian qi
自梳	zi shu
自梳国语版	zi shu guo yu ban
自梳女	zi shu nv
自梳粤语版	zi shu yue yu ban
自疏	zi shu
自署区中职	zi shu qu zhong zhi
自署云亭山人	zi shu yun ting shan ren
自舒翠袖点琼英	zi shu cui xiu dian qiong ying
自蜀江至洞庭湖口	zi shu jiang zhi dong ting hu kou
自赎	zi shu
自述	zi shu
自述二首	zi shu er shou
自述希古心	zi shu xi gu xin
自述学术次第	zi shu xue shu ci di
自爽	zi shuang
自水	zi shui
自水村	zi shui cun
自水东嘉祐寺迁居合江楼	zi shui dong jia you si qian ju he jiang lou
自水冷	zi shui leng
自水冷锅	zi shui leng guo
自水冷锅鱼	zi shui leng guo yu
自说初成净照堂	zi shuo chu cheng jing zhao tang
自说此景难形容	zi shuo ci jing nan xing rong
自说东峰下	zi shuo dong feng xia
自说二女啮臂时	zi shuo er nv nie bi shi
自说非人意	zi shuo fei ren yi
自说夫因征战死	zi shuo fu yin zheng zhan si
自说孤舟寒水畔	zi shuo gu zhou han shui pan
自说过门三不入	zi shuo guo men san bu ru
自说宦游来	zi shuo huan you lai
自说家乡古相州	zi shuo jia xiang gu xiang zhou
自说江湖不归事	zi shuo jiang hu bu gui shi
自说经	zi shuo jing
自说经今六百年	zi shuo jing jin liu bai nian
自说名因石	zi shuo ming yin shi
自说曲阿犹未稳	zi shuo qu a you wei wen
自说如池龙	zi shuo ru chi long
自说塞话	zi shuo sai hua
自说山话	zi shuo shan hua
自说行坦途	zi shuo xing tan tu
自说轩辕师	zi shuo xuan yuan shi
自说厌苦居都城	zi shuo yan ku ju du cheng
自说印书春可寄	zi shuo yin shu chun ke ji
自说中郎识元叹	zi shuo zhong lang shi yuan tan
自说自话	zi shuo zi hua
自说自话的	zi shuo zi hua de
自思方才之言	zi si fang cai zhi yan
自思买用几多钱	zi si mai yong ji duo qian
自斯以后	zi si yi hou
自死的和被野兽撕裂的	zi si de he bei ye shou si lie de
自死了	zi si le
自死肉口闭者	zi si rou kou bi zhe
自死亡宣告之日起消灭	zi si wang xuan gao zhi ri qi xiao mie
自死无教者	zi si wu jiao zhe
自死者弥甚	zi si zhe mi shen
自私	zi si
自私的基因	zi si de ji yin
自私的巨人	zi si de ju ren
自私的龙蛙	zi si de long wa
自私的人类狼不狼狈	zi si de ren lei lang bu lang bei
自私旳占有	zi si di zhan you
自私点说	zi si dian shuo
自私很	zi si hen
自私冷血	zi si leng xue
自私情怯	zi si qing qie
自私神针	zi si shen zhen
自私犹畏天	zi si you wei tian
自私自利	zi si zi li
自宋武爱文	zi song wu ai wen
自宋玉景差	zi song yu jing cha
自松	zi song
自松声满虚空	zi song sheng man xu kong
自讼	zi song
自送归鞍怅独回	zi song gui an chang du hui
自送青编满朝市	zi song qing bian man chao shi
自送秋千不要人	zi song qiu qian bu yao ren
自塑	zi su
自诉	zi su
自诉案件	zi su an jian
自诉人	zi su ren
自诉状	zi su zhuang
自速耽考槃	zi su dan kao pan
自酥饼	zi su bing
自碎	zi sui
自碎的	zi sui de
自碎火成角砾岩	zi sui huo cheng jiao li yan
自碎结构	zi sui jie gou
自碎岩	zi sui yan
自遂意何如	zi sui yi he ru
自随初日吐虹蜺	zi sui chu ri tu hong ni
自随台席贵	zi sui tai xi gui
自随卫侯去	zi sui wei hou qu
自损三千	zi sun san qian
自损损他	zi sun sun ta
自损者益	zi sun zhe yi
自琐闼以病得请奉祠	zi suo ta yi bing de qing feng ci
自索东方米	zi suo dong fang mi
自索非关天	zi suo fei guan tian
自锁	zi suo
自锁按钮	zi suo an niu
自锁插入钉	zi suo cha ru ding
自锁触点	zi suo chu dian
自锁垫圈	zi suo dian quan
自锁电路	zi suo dian lu
自锁定	zi suo ding
自锁钉	zi suo ding
自锁钢卷钳	zi suo gang juan qian
自锁股骨颈固定钉不锈钢	zi suo gu gu jing gu ding ding bu xiu gang
自锁股骨颈固定钉钛合金	zi suo gu gu jing gu ding ding tai he jin
自锁机构	zi suo ji gou
自锁颈椎前路板	zi suo jing zhui qian lu ban
自锁开关	zi suo kai guan
自锁螺钉	zi suo luo ding
自锁螺母	zi suo luo mu
自锁模	zi suo mo
自锁器	zi suo qi
自锁式肱骨钉	zi suo shi gong gu ding
自锁式股骨钉型	zi suo shi gu gu ding xing
自锁式胫骨钉	zi suo shi jing gu ding
自锁锁销	zi suo suo xiao
自锁钛钉	zi suo tai ding
自锁弹簧	zi suo tan huang
自锁条件	zi suo tiao jian
自锁销轴	zi suo xiao zhou
自锁鞋	zi suo xie
自锁型肱骨髓内钉	zi suo xing gong gu sui nei ding
自锁型肱骨髓内钉不锈钢	zi suo xing gong gu sui nei ding bu xiu gang
